"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EIF2AK1|Q9BQI3",3.08284861314215,312412.648641975,13.7080679001985,8.24277438081305e-29,2.48042434327887e-26,54.8608949028153
"PEX16|Q9Y5Y5",-2.36162884181008,876455.295614036,-12.8555766449487,9.11152436179344e-29,2.65500392754241e-26,54.570435955323
"NAGLU|P54802",-1.46174623025895,444088.546008772,-12.8497183703551,9.5194718871219e-29,2.65500392754241e-26,54.5269221656423
"JMJD6|Q6NYC1",-5.38406331806874,1849667.51622807,-12.7409272267609,2.14597383519287e-28,5.70679321056521e-26,53.7194095939291
"ZMAT3|Q9HA38",3.08522431154783,429990.5562,24.2208941840198,9.49634722782665e-29,2.65500392754241e-26,53.2459138923359
"DACH2|Q96NX9",1.57141595264791,478612.291875,23.7878245425111,1.11523411398824e-27,2.83393379854567e-25,52.5356151504369
"NCOA1|Q15788",1.461147998791,704399.875438596,12.4568152217298,1.78352495925014e-27,4.4336104150055e-25,51.6159584784086
"AGPAT2|O15120",-0.818360779270626,109462.2475,-19.6095926036198,2.12998780338735e-28,5.70679321056521e-26,51.4170889986612
"RUNDC3A|Q59EK9",-8.55082762835947,10183139.2763158,-12.4234237987543,2.28631106934367e-27,5.56254618679678e-25,51.3692936072562
"SLC22A15|Q8IZD6",0.404925386607033,169259.816833333,12.8319832288809,3.95818494834631e-27,9.23711120088572e-25,50.9242633858298
"DDX60L|Q5H9U9",-4.87710132354863,718440.36015625,-18.7298672676546,2.48907368008333e-27,5.92969948578184e-25,50.4403488229179
"TVP23C|Q96ET8",5.05430593024786,923260.81640625,13.6424027379459,1.28006252471025e-26,2.8701009745219e-24,49.9465108796817
"TAF5L|O75529",0.744279401470835,213551.31125,14.8190918981447,2.18574499662541e-26,4.46321322078778e-24,49.5637105238707
"MTRF1L|Q9UGC7",1.74651744788498,707479.626886792,12.2986541572917,1.49577660163221e-26,3.28927027685852e-24,49.5280254447076
"FAM181B|A6NEQ2",0.554369212483876,138883.041060606,17.5690394480018,2.79652767193883e-26,5.42004981841026e-24,49.4776071983725
"DIMT1|Q9UNQ2",-1.43454750796624,575941.828298969,-12.4527672701659,1.70683252300567e-26,3.6825716793528e-24,49.457616045855
"MREG|Q8N565",2.10075756506363,291629.9976,22.2555387982386,4.1315976906136e-27,9.44896391843331e-25,49.3616553967789
"MRPS14|O60783",-0.60805290088525,231228.325,-12.1390449162432,1.8859424879941e-26,3.92104588185682e-24,49.2737554021833
"ABHD17A|Q96GS6",2.03097213260927,1182196.94912281,12.1114547675967,2.31322633298084e-26,4.64065668730454e-24,49.0709699325297
"EXPH5|Q8NEV8",0.796356623426189,303073.5421875,13.4587954307078,3.55100150532465e-26,6.65667249399794e-24,48.9246336601918
"LDHA|P00338",344.176761646145,363341187.280702,12.0866045582336,2.78013224578027e-26,5.42004981841026e-24,48.8884058442351
"ARHGAP18|Q8N392",1.55497564938778,635546.682075471,12.2037129602657,2.96266007137687e-26,5.64633631936575e-24,48.8491855589782
"INKA2|Q9NTI7",6.54284944225311,377679.26484375,19.0486705198515,1.01175643011321e-27,2.6294169950783e-25,48.7547891756209
"CDK4|P11802",1.66684691980226,821173.084649123,12.0072125904592,4.99963841509907e-26,9.22110730268675e-24,48.3056839522217
"TMEM41A|Q96HV5",2.43073465171508,972111.072368421,11.9833486378348,5.96322485445913e-26,1.08237263826572e-23,48.1306901823015
"ZFP64|Q9NPA5",0.862518937442282,163271.9103125,13.3346227448484,7.09054286660917e-26,1.24739011814886e-23,48.0745593876082
"F11R|Q9Y624",-2.47330809922173,1335446.40701754,-11.9697782769746,6.59163618730302e-26,1.17773999690328e-23,48.0312132540673
"TBC1D16|Q8TBP0",2.92448553123219,240008.167073171,15.8563738548082,1.74049429077598e-26,3.68565781759691e-24,47.929182293539
"GMFG|O60234",-2.97300892741522,1846227.68991228,-11.9439893545744,7.97359318553423e-26,1.38148542540279e-23,47.8422376346221
"PPP2R1A|P30153",187.263052715667,254387626.754386,11.9396088558349,8.23552033012651e-26,1.40556977574622e-23,47.8101473224147
"PRR22|Q8IZ63",2.26820127463076,622863.745833333,21.1391250608545,1.71375640826494e-25,2.76011331387459e-23,47.7594349674584
"JAGN1|Q8N5M9",-2.66997535221488,1360133.87807017,-11.9248301745714,9.18417267812075e-26,1.54442668491633e-23,47.7019022959803
"TRAM1|Q15629",-1.43333628412979,437328.936008772,-11.9069065688226,1.04820933468154e-25,1.73714112204107e-23,47.5706630913125
"LRRC45|Q96CN5",10.038065140209,980373.2795,15.5493937749639,1.10089648871671e-25,1.79839304978222e-23,47.2369939453468
"ZGPAT|Q8N5A5",1.66112396708855,346228.628092784,12.0985782582127,1.98704553616614e-25,3.07052239271079e-23,47.0348735047504
"C9orf64|Q5T6V5",-15.8197019118999,17876159.9692982,-11.83145783791,1.82767042382959e-25,2.90269601340158e-23,47.0187110907769
"SBDS|Q9Y3A5",-31.0404188308503,38555205.1315789,-11.7994840432066,2.31268936892812e-25,3.4344938874926e-23,46.7850491652276
"ACAA1|P09110",-20.5582545802198,20437427.0614035,-11.7859125472443,2.55556103332903e-25,3.69909372355918e-23,46.6859146342179
"DYM|Q7RTS9",-0.925387869126609,512772.785849057,-11.8999381720476,2.623136033779e-25,3.74944506828286e-23,46.683321489513
"EPC1|Q9H2F5",2.14172559241582,287593.335102041,14.1049722150611,3.49502198573201e-25,4.9340217786229e-23,46.5852564032475
"SLC19A1|P41440",1.32147274381905,578631.407075472,11.8563542904009,3.58398265020815e-25,4.99790751282075e-23,46.3734067274828
"NCBP2|P52298",-4.39129960210076,1577527.51359649,-11.7181278039698,4.20657303147736e-25,5.79544127890887e-23,46.1911798230633
"IL17RB|Q9NRM6",1.68347985147044,256810.659210526,13.331146520599,6.72061717343055e-25,9.04120675037392e-23,46.0762754833356
"QTRT1|Q9BXR0",-5.21616585627084,2959627.36403509,-11.6918453453788,5.10238294769349e-25,6.94592250081845e-23,45.9995391541193
"ASPHD2|Q6ICH7",-5.23532797986058,4200926.21929825,-11.6197077035873,8.66312671309071e-25,1.15189365074642e-22,45.4740845365723
"GLUD1|P00367",453.1887865669,521495481.578947,11.6106050937698,9.26105665628967e-25,1.21724348120313e-22,45.4078379591787
"FLOT1|O75955",125.530839202387,120359102.105263,11.5975176506661,1.01935618733466e-24,1.32458386388316e-22,45.3126135321752
"POLR3H|Q9Y535",0.52736822120829,155735.25260274,12.4351345652817,1.35029909064847e-24,1.71563001128503e-22,45.2594582322664
"ATP6V1B2|P21281",261.145668118322,390648163.157895,11.5866251746825,1.10406546335357e-24,1.41853804196046e-22,45.2333803095558
"DDX56|Q9NY93",1.12872629768497,325332.640463917,11.818228844153,1.37820250898265e-24,1.73184018573809e-22,45.1117824852249
"ZC3H7B|Q9UGR2",-3.83645140067642,2646441.78508772,-11.5320908398167,1.64607320906135e-24,2.04596164626267e-22,44.8369749295474
"CSNK1G3|Q9Y6M4",-12.6747094034173,11000294.7763158,-11.5268330623321,1.71065206129134e-24,2.10336627106091e-22,44.7987818612885
"COA6|Q5JTJ3",20.2910035315941,13766916.4605263,11.5184331834178,1.81910560306807e-24,2.21292261394504e-22,44.7377735255552
"GATC|O43716",-4.35228477977339,1706687.19035088,-11.4859571587771,2.3068897174838e-24,2.75099492838188e-22,44.5020083385622
"TSPAN7|P41732",40.9569665813134,25210039.7017544,11.4858003340781,2.30953662548894e-24,2.75099492838188e-22,44.5008702626111
"AGAP4|Q96P64",2.35359810555994,152314.5765625,17.2474775008156,1.89246181390023e-25,2.96442477286974e-23,44.4448301974236
"NCF1B|A6NI72",-0.732388475810344,225459.242525773,-11.6579443981688,4.15843145183318e-24,4.90223336615592e-22,44.001819745277
"NOB1|Q9ULX3",1.42072001321328,585823.92,11.519172291249,4.41766688579718e-24,5.15469600398885e-22,43.9165300052195
"SNRPD2|P62316",36.8169870582891,30572252.1491228,11.3922835754336,4.57294386748398e-24,5.28198112370498e-22,43.8229491243221
"RASGEF1A|Q8N9B8",-2.81902329433556,1167728.64561404,-11.361844668432,5.70986789091026e-24,6.52923393325588e-22,43.6026106511223
"SIGLEC9|Q9Y336",0.785994812430871,127940.873362069,12.8196620658674,7.12145516579693e-24,7.9061980408629e-22,43.5288317777113
"SYT12|Q8IV01",47.8168406281223,34175817.2675439,11.339832785368,6.70375070551554e-24,7.51543032525198e-22,43.443372378479
"SVBP|Q8N300",1.50215236149833,633147.638679245,11.4233011719032,7.86689864122942e-24,8.64980634254408e-22,43.3069294343559
"LRCH2|Q5VUJ6",-1.52820629720261,519786.971578947,-11.298151490068,9.08213706186627e-24,9.8908797430896e-22,43.1420729408237
"MTHFD2|P13995",1.3826200829561,154402.782083333,21.0517705172604,2.04101610888083e-25,3.1118692273403e-23,43.0968752484148
"STX1A|Q16623",184.539172184354,188535543.903509,11.2682258364355,1.12924178758669e-23,1.20681120009848e-21,42.9259396653315
"PFDN1|O60925",27.2176699810281,30911036.1842105,11.2642844411186,1.1620939263649e-23,1.23042074518357e-21,42.8974854298171
"LIMD1|Q9UGP4",0.747769273668828,184502.3903125,16.1200204784356,6.03362532991803e-24,6.83113917303096e-22,42.7343111998298
"TRIM21|P19474",-1.66133495004181,778185.499999999,-11.2333970895964,1.45479165549331e-23,1.5261965670244e-21,42.6745958015714
"NKD1|Q969G9",3.2378077564699,341354.915510204,13.2404044156301,1.99708620063064e-23,2.0389893485903e-21,42.6176243957122
"OTUD3|Q5T2D3",0.634931732194657,203921.255684931,11.9910163702245,1.98210934594805e-23,2.0389893485903e-21,42.6033899419984
"HSD17B7|P56937",-3.24235994407468,1237436.8368421,-11.2226182758468,1.57336461960707e-23,1.63558403865517e-21,42.5968540661362
"GRID2IP|A4D2P6",-0.756039501079349,119829.94377551,-13.1723614329408,2.75547279291025e-23,2.73989838147206e-21,42.3782106436173
"SRSF11|Q05519",-4.70018157522643,3532277.07017544,-11.1861507113057,2.05064911336695e-23,2.07514801870364e-21,42.3339899485762
"DDX19A|Q9NUU7",-17.7619038878925,24616617.1052632,-11.1803221061009,2.13930268911132e-23,2.14587072368316e-21,42.2919989710198
"ADIPOR1|Q96A54",-0.974976275430904,288634.191683673,-11.3638039741008,2.8002962871602e-23,2.76046448652387e-21,42.2407665947925
"IFT43|Q96FT9",-1.28968560025586,439389.715,-11.3680538816047,3.04542319676393e-23,2.95122154703352e-21,42.0306092481506
"RTN4IP1|Q8WWV3",15.2019362676287,10393445.4868421,11.1395362997078,2.87620124603378e-23,2.81105651695695e-21,41.9983417287932
"KLHL25|Q9H0H3",0.60856047043217,146468.957424242,15.1777412742664,5.7266959848697e-23,5.32396492577114e-21,41.9611125797303
"EGFL8|Q99944",0.265448016287915,68975.7203125,15.3436173394763,7.15280732870385e-23,6.49145649235941e-21,41.7573243373322
"UBE2B|P63146",2.20897526608675,602632.12877193,11.103787151568,3.72721944274416e-23,3.58157599393105e-21,41.7412035755717
"RFT1|Q96AA3",3.11240320309266,930193.747169811,11.174450148017,4.58922227265574e-23,4.33700468494367e-21,41.7335428100122
"HNRNPDL|O14979",-41.9943076503729,33277918.6403509,-11.0999924607682,3.83113654744655e-23,3.65075386833761e-21,41.7139230738688
"LSR|Q86X29",0.698887585579991,200049.906785714,12.5201250948396,6.30578243614544e-23,5.81505017397767e-21,41.5644810661605
"ZNF316|A6NFI3",1.88409205207205,281133.027195122,13.791394367882,6.62150557972456e-23,6.05735330433202e-21,41.4838003260049
"EXOSC6|Q5RKV6",1.41543597754965,1299577.55087719,11.0549810277864,5.30762501424309e-23,4.97481082277621e-21,41.3905391904204
"MAIP1|Q8WWC4",-15.7235801792021,11275875.7631579,-11.0033393167378,7.71126174666418e-23,6.94317150181929e-21,41.0200002840222
"HACD2|Q6Y1H2",-10.606090145184,7372731.03070175,-11.0009307683405,7.84668560046678e-23,7.0099101438545e-21,41.0027311643345
"ELOVL5|Q9NYP7",-1.59365842008386,541712.547149122,-10.9997219349836,7.9155443684825e-23,7.01660851578274e-21,40.9940643437166
